time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3
1.224275,0,0,0,0
1.226041,0,0,0,0
1.227769,0,0,0,0
1.229511,0,0,0,0
1.231238,0,0,0,0
1.232978,0,0,0,0
1.234706,0,0,0,0
1.236441,0,0,0,0
1.238210,0,0,0,0
1.239937,0,0,0,0
1.241684,0,0,0,0
1.243411,0,0,0,0
1.245158,0,0,0,0
1.246909,0,0,0,0
1.248646,0,0,0,0
1.250373,0,0,0,0
1.252098,0,0,0,0
1.253842,0,0,0,0
1.255568,0,0,0,0
1.257377,0,0,0,0
1.259102,0,0,0,0
1.260841,0,0,0,0
1.262567,0,0,0,0
1.264294,0,0,0,0
1.266050,0,0,0,0
1.267780,0,0,0,0
1.269521,0,0,0,0
1.271254,0,0,0,0
1.272996,0,0,0,0
1.274722,0,0,0,0
1.276450,0,0,0,0
1.278227,0,0,0,0
1.279953,0,0,0,0
1.281696,0,0,0,0
1.283424,0,0,0,0
1.285175,0,0,0,0
1.286956,0,0,0,0
1.288695,0,0,0,0
1.290420,0,0,0,0
1.292146,0,0,0,0
1.293888,0,0,0,0
1.295613,0,0,0,0
1.297383,0,0,0,0
1.299109,0,0,0,0
1.300846,0,0,0,0
1.302572,0,0,0,0
1.304299,0,0,0,0
1.306163,0,0,0,0
1.307896,0,0,0,0
1.309638,0,0,0,0
1.311365,0,0,0,0
1.313102,0,0,0,0
1.314833,0,0,0,0
1.316571,0,0,0,0
1.318362,0,0,0,0
1.320088,0,0,0,0
1.321829,0,0,0,0
1.323556,0,0,0,0
1.325299,0,0,0,0
1.327055,0,0,0,0
1.328792,0,0,0,0
1.330519,0,0,0,0
1.332271,0,0,0,0
1.333999,0,0,0,0
1.335725,0,0,0,0
1.337521,0,0,0,0
1.339248,0,0,0,0
1.340986,0,0,0,0
1.342713,0,0,0,0
1.344442,0,0,0,0
1.346202,0,0,0,0
1.347935,0,0,0,0
1.349677,0,0,0,0
1.351403,0,0,0,0
1.353141,0,0,0,0
1.354868,0,0,0,0
1.356610,0,0,0,0
1.358395,0,0,0,0
1.360123,0,0,0,0
1.361864,0,0,0,0
1.363591,0,0,0,0
1.365333,0,0,0,0
1.367093,0,0,0,0
1.368834,0,0,0,0
1.370781,0,0,0,0
1.372523,0,0,0,0
1.374250,0,0,0,0
1.375977,0,0,0,0
1.377785,0,0,0,0
1.379510,0,0,0,0
1.381250,0,0,0,0
1.382978,0,0,0,0
1.384718,0,0,0,0
1.386474,0,0,0,0
1.388205,0,0,0,0
1.389942,0,0,0,0
1.391670,0,0,0,0
1.393410,0,0,0,0
1.395137,0,0,0,0
1.396882,0,0,0,0
1.398644,0,0,0,0
1.400370,0,0,0,0
1.402151,0,0,0,0
1.403878,0,0,0,0
1.405621,0,0,0,0
1.407373,0,0,0,0
1.409117,0,0,0,0
1.410843,0,0,0,0
1.412581,0,0,0,0
1.414308,0,0,0,0
1.416035,0,0,0,0
1.417845,0,0,0,0
1.419572,0,0,0,0
1.421318,0,0,0,0
1.423045,0,0,0,0
1.424781,0,0,0,0
1.426540,0,0,0,0
1.428271,0,0,0,0
1.429998,0,0,0,0
1.431723,0,0,0,0
1.433464,0,0,0,0
1.435191,0,0,0,0
1.436930,0,0,0,0
1.438716,0,0,0,0
1.440444,0,0,0,0
1.442169,0,0,0,0
1.443895,0,0,0,0
1.445638,0,0,0,0
1.447399,0,0,0,0
1.449137,0,0,0,0
1.450864,0,0,0,0
1.452600,0,0,0,0
1.454326,0,0,0,0
1.456053,0,0,0,0
1.457845,0,0,0,0
1.459570,0,0,0,0
1.461312,0,0,0,0
1.463038,0,0,0,0
1.464774,0,0,0,0
1.466532,0,0,0,0
1.468271,0,0,0,0
1.469996,0,0,0,0
1.471728,0,0,0,0
1.473468,0,0,0,0
1.475194,0,0,0,0
1.476933,0,0,0,0
1.478711,0,0,0,0
1.480438,0,0,0,0
1.482164,0,0,0,0
1.483891,0,0,0,0
1.485631,0,0,0,0
1.487395,0,0,0,0
1.489135,0,0,0,0
1.490861,0,0,0,0
1.492599,0,0,0,0
1.494331,0,0,0,0
1.496059,0,0,0,0
1.497821,0,0,0,0
1.499568,0,0,0,0
1.501308,0,0,0,0
1.503032,0,0,0,0
1.504769,0,0,0,0
1.506513,0,0,0,0
1.508259,0,0,0,0
1.509999,0,0,0,0
1.511733,0,0,0,0
1.513468,0,0,0,0
1.515194,0,0,0,0
1.516933,0,0,0,0
1.518724,0,0,0,0
1.520455,0,0,0,0
1.522182,0,0,0,0
1.523906,0,0,0,0
1.525646,0,0,0,0
1.527417,0,0,0,0
1.529153,0,0,0,0
1.530879,0,0,0,0
1.532616,0,0,0,0
1.534343,0,0,0,0
1.536067,0,0,0,0
1.537811,0,0,0,0
1.539575,0,0,0,0
1.541315,0,0,0,0
1.543041,0,0,0,0
1.544779,0,0,0,0
1.546520,0,0,0,0
1.548266,0,0,0,0
1.549994,0,0,0,0
1.551719,0,0,0,0
1.553460,0,0,0,0
1.555188,0,0,0,0
1.556926,0,0,0,0
1.558689,0,0,0,0
1.560418,0,0,0,0
1.562143,0,0,0,0
1.563868,0,0,0,0
1.565609,0,0,0,0
1.567376,0,0,0,0
1.569118,0,0,0,0
1.570844,0,0,0,0
1.572582,0,0,0,0
1.574307,0,0,0,0
1.576033,0,0,0,0
1.577776,0,0,0,0
1.579531,0,0,0,0
1.581269,0,0,0,0
1.582996,0,0,0,0
1.584731,0,0,0,0
1.586461,0,0,0,0
1.588216,0,0,0,0
1.589955,0,0,0,0
1.591687,0,0,0,0
1.593423,0,0,0,0
1.595149,0,0,0,0
1.596887,0,0,0,0
1.598683,0,0,0,0
1.600410,0,0,0,0
1.602136,0,0,0,0
1.603862,0,0,0,0
1.605602,0,0,0,0
1.607362,0,0,0,0
1.609102,0,0,0,0
1.610827,0,0,0,0
1.612564,0,0,0,0
1.614291,0,0,0,0
1.616016,0,0,0,0
1.617759,0,0,0,0
1.619541,0,0,0,0
1.621286,0,0,0,0
1.623011,0,0,0,0
1.624747,0,0,0,0
1.626474,0,0,0,0
1.628234,0,0,0,0
1.629975,0,0,0,0
1.631700,0,0,0,0
1.633436,0,0,0,0
1.635163,0,0,0,0
1.636902,0,0,0,0
1.638696,0,0,0,0
1.640424,0,0,0,0
1.642149,0,0,0,0
1.643879,0,0,0,0
1.645619,0,0,0,0
1.647377,0,0,0,0
1.649117,0,0,0,0
1.650844,0,0,0,0
1.652581,0,0,0,0
1.654306,0,0,0,0
1.656031,0,0,0,0
1.657776,0,0,0,0
1.659560,0,0,0,0
1.661297,0,0,0,0
1.663023,0,0,0,0
1.664760,0,0,0,0
1.666485,0,0,0,0
1.668244,0,0,0,0
1.669985,0,0,0,0
1.671711,0,0,0,0
1.673450,0,0,0,0
1.675175,0,0,0,0
1.676918,0,0,0,0
1.678673,0,0,0,0
1.680400,0,0,0,0
1.682125,0,0,0,0
1.683852,0,0,0,0
1.685593,0,0,0,0
1.687344,0,0,0,0
1.689095,0,0,0,0
1.690821,0,0,0,0
1.692556,0,0,0,0
1.694285,0,0,0,0
1.696010,0,0,0,0
1.697753,0,0,0,0
1.699520,0,0,0,0
1.701257,0,0,0,0
1.702981,0,0,0,0
1.704718,0,0,0,0
1.706444,0,0,0,0
1.708209,0,0,0,0
1.709950,0,0,0,0
1.711676,0,0,0,0
1.713414,0,0,0,0
1.715148,0,0,0,0
1.716890,0,0,0,0
1.718656,0,0,0,0
1.720389,0,0,0,0
1.722115,0,0,0,0
1.723852,0,0,0,0
1.725589,0,0,0,0
1.727327,0,0,0,0
1.729095,0,0,0,0
1.730820,0,0,0,0
1.732559,0,0,0,0
1.734285,0,0,0,0
1.736011,0,0,0,0
1.737753,0,0,0,0
1.739540,0,0,0,0
1.741385,0,0,0,0
1.743111,0,0,0,0
1.744849,0,0,0,0
1.746576,0,0,0,0
1.748344,0,0,0,0
1.750071,0,0,0,0
1.751796,0,0,0,0
1.753537,0,0,0,0
1.755264,0,0,0,0
1.757002,0,0,0,0
1.758747,0,0,0,0
1.760497,0,0,0,0
1.762375,0,0,0,0
1.764100,0,0,0,0
1.765840,0,0,0,0
1.767585,0,0,0,0
1.769338,0,0,0,0
1.771063,0,0,0,0
1.772799,0,0,0,0
1.774524,0,0,0,0
1.776249,0,0,0,0
1.777988,0,0,0,0
1.779775,0,0,0,0
1.781512,0,0,0,0
1.783237,0,0,0,0
1.784971,0,0,0,0
1.786698,0,0,0,0
1.788457,0,0,0,0
1.790181,0,0,0,0
1.792141,0,0,0,0
1.793884,0,0,0,0
1.795610,0,0,0,0
1.797355,0,0,0,0
1.799104,0,0,0,0
1.800845,0,0,0,0
1.802571,0,0,0,0
1.804299,0,0,0,0
1.806025,0,0,0,0
1.807767,0,0,0,0
1.809521,0,0,0,0
1.811246,0,0,0,0
1.813014,0,0,0,0
1.814742,0,0,0,0
1.816469,0,0,0,0
1.818197,0,0,0,0
1.819989,0,0,0,0
1.821730,0,0,0,0
1.823457,0,0,0,0
1.825194,0,0,0,0
1.826925,0,0,0,0
1.828701,0,0,0,0
1.830428,0,0,0,0
1.832154,0,0,0,0
1.833894,0,0,0,0
1.835622,0,0,0,0
1.837361,0,0,0,0
1.839123,0,0,0,0
1.840870,0,0,0,0
1.842596,0,0,0,0
1.844322,0,0,0,0
1.846048,0,0,0,0
1.847787,0,0,0,0
1.849548,0,0,0,0
1.851274,0,0,0,0
1.853011,0,0,0,0
1.854736,0,0,0,0
1.856464,0,0,0,0
1.858192,0,0,0,0
1.859978,0,0,0,0
1.861720,0,0,0,0
1.863448,0,0,0,0
1.865185,0,0,0,0
1.866914,0,0,0,0
1.868699,0,0,0,0
1.870424,0,0,0,0
1.872150,0,0,0,0
1.873891,0,0,0,0
1.875617,0,0,0,0
1.877357,0,0,0,0
1.879107,0,0,0,0
1.880871,0,0,0,0
