time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3
1.043731,0,0,0,0
1.045469,0,0,0,0
1.047214,0,0,0,0
1.048944,0,0,0,0
1.050735,0,0,0,0
1.052479,0,0,0,0
1.054225,0,0,0,0
1.055957,0,0,0,0
1.057686,0,0,0,0
1.059415,0,0,0,0
1.061147,0,0,0,0
1.062890,0,0,0,0
1.064644,0,0,0,0
1.066388,0,0,0,0
1.068117,0,0,0,0
1.069874,0,0,0,0
1.071657,0,0,0,0
1.073386,0,0,0,0
1.075130,0,0,0,0
1.076859,0,0,0,0
1.078600,0,0,0,0
1.080330,0,0,0,0
1.082074,0,0,0,0
1.083813,0,0,0,0
1.085544,0,0,0,0
1.087287,0,0,0,0
1.089016,0,0,0,0
1.090799,0,0,0,0
1.092549,0,0,0,0
1.094291,0,0,0,0
1.096019,0,0,0,0
1.097749,0,0,0,0
1.099482,0,0,0,0
1.101213,0,0,0,0
1.102956,0,0,0,0
1.104704,0,0,0,0
1.106444,0,0,0,0
1.108173,0,0,0,0
1.109924,0,0,0,0
1.111703,0,0,0,0
1.113436,0,0,0,0
1.115182,0,0,0,0
1.116910,0,0,0,0
1.118650,0,0,0,0
1.120386,0,0,0,0
1.122128,0,0,0,0
1.123865,0,0,0,0
1.125605,0,0,0,0
1.127354,0,0,0,0
1.129083,0,0,0,0
1.130888,0,0,0,0
1.132635,0,0,0,0
1.134374,0,0,0,0
1.136104,0,0,0,0
1.137834,0,0,0,0
1.139563,0,0,0,0
1.141294,0,0,0,0
1.143036,0,0,0,0
1.144784,0,0,0,0
1.146524,0,0,0,0
1.148252,0,0,0,0
1.149997,0,0,0,0
1.151779,0,0,0,0
1.153515,0,0,0,0
1.155367,0,0,0,0
1.157096,0,0,0,0
1.158837,0,0,0,0
1.160563,0,0,0,0
1.162305,0,0,0,0
1.164036,0,0,0,0
1.165774,0,0,0,0
1.167503,0,0,0,0
1.169230,0,0,0,0
1.171034,0,0,0,0
1.172785,0,0,0,0
1.174524,0,0,0,0
1.176253,0,0,0,0
1.177992,0,0,0,0
1.179719,0,0,0,0
1.181449,0,0,0,0
1.183190,0,0,0,0
1.184937,0,0,0,0
1.186675,0,0,0,0
1.188403,0,0,0,0
1.190151,0,0,0,0
1.191918,0,0,0,0
1.193651,0,0,0,0
1.195379,0,0,0,0
1.197105,0,0,0,0
1.198845,0,0,0,0
1.200572,0,0,0,0
1.202315,0,0,0,0
1.204046,0,0,0,0
1.206228,0,0,0,0
1.207956,0,0,0,0
1.209683,0,0,0,0
1.211480,0,0,0,0
1.213229,0,0,0,0
1.214970,0,0,0,0
1.216697,0,0,0,0
1.218433,0,0,0,0
1.220159,0,0,0,0
1.221897,0,0,0,0
1.223637,0,0,0,0
1.225385,0,0,0,0
1.227127,0,0,0,0
1.228854,0,0,0,0
1.230618,0,0,0,0
1.232382,0,0,0,0
1.234119,0,0,0,0
1.235846,0,0,0,0
1.237573,0,0,0,0
1.239313,0,0,0,0
1.241043,0,0,0,0
1.242781,0,0,0,0
1.244517,0,0,0,0
1.246260,0,0,0,0
1.247986,0,0,0,0
1.249712,0,0,0,0
1.251476,0,0,0,0
1.253225,0,0,0,0
1.254965,0,0,0,0
1.256692,0,0,0,0
1.258429,0,0,0,0
1.260155,0,0,0,0
1.261894,0,0,0,0
1.263620,0,0,0,0
1.265370,0,0,0,0
1.267112,0,0,0,0
1.268838,0,0,0,0
1.270604,0,0,0,0
1.272362,0,0,0,0
1.274098,0,0,0,0
1.275825,0,0,0,0
1.277559,0,0,0,0
1.279298,0,0,0,0
1.281027,0,0,0,0
1.282766,0,0,0,0
1.284499,0,0,0,0
1.286248,0,0,0,0
1.287975,0,0,0,0
1.289703,0,0,0,0
1.291488,0,0,0,0
1.293235,0,0,0,0
1.294977,0,0,0,0
1.296703,0,0,0,0
1.298441,0,0,0,0
1.300168,0,0,0,0
1.301912,0,0,0,0
1.303646,0,0,0,0
1.305390,0,0,0,0
1.307131,0,0,0,0
1.308860,0,0,0,0
1.310608,0,0,0,0
1.312378,0,0,0,0
1.314125,0,0,0,0
1.315853,0,0,0,0
1.317582,0,0,0,0
1.319321,0,0,0,0
