time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU1_L0,GPU1_L1,GPU1_L2,GPU1_L3,GPU2_L0,GPU2_L1,GPU2_L2,GPU2_L3,GPU2_L4,GPU3_L0,GPU3_L1,GPU3_L2,GPU3_L3,GPU3_L4
0.785308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.790032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.794814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.799602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.804785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.809597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.814421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.819248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.824091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.828911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.834200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.839036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.843884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.848730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.853456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.858242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.863058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.867872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.873089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.877938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.882730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.887536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.892349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.897140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.902370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.907183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.911920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.916708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.921488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.926283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.930736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
